120413;;;;;;;;
120413;PAR;MUC;715;200;845;200;0;AF_1422
120413;PAR;MUC;815;200;945;200;0;JL_5711
120413;PAR;MUC;815;200;945;200;0;AF_1522
120413;PAR;MUC;840;200;1010;200;0;LH_2227
120413;PAR;MUC;1020;200;1150;200;0;AF_1722
120413;PAR;MUC;1105;200;1235;200;0;LH_2229
120413;PAR;MUC;1255;200;1425;200;0;AF_2022
120413;PAR;MUC;1300;200;1430;200;0;AF_2022
120413;PAR;MUC;1305;200;1435;200;0;LH_2231
120413;PAR;MUC;1555;200;1725;200;0;AF_2322
120413;PAR;MUC;1600;200;1730;200;0;AF_2322
120413;PAR;MUC;1700;200;1830;200;0;LH_2233
120413;PAR;MUC;1815;200;1945;200;0;JL_5303
120413;PAR;MUC;1815;200;1945;200;0;AF_2522
120413;PAR;MUC;1825;200;1955;200;0;LH_2235
120413;PAR;MUC;1910;200;2040;200;0;LH_2237
120413;PAR;MUC;2040;200;2210;200;0;AF_1122
120413;PAR;MUC;2120;200;2250;200;0;LH_2239
120413;PAR;MUC;700;200;955;200;0;LH_3227-LH_2001
120413;PAR;MUC;705;200;1005;200;0;LX_647-LX_3618
120413;PAR;MUC;800;200;1100;200;0;LH_1051-LH_106
120413;PAR;MUC;855;200;1155;200;0;LH_3219-LH_2005
120413;PAR;MUC;1400;200;1705;200;0;LH_1035-LH_114
120413;PAR;MUC;1735;200;2040;200;0;AB_8727-AB_8392
120413;PAR;MUC;950;200;1310;200;0;LX_633-LX_1104
120413;PAR;MUC;1100;200;1425;200;0;LX_635-LX_3620
120413;PAR;MUC;1245;200;1610;200;0;LH_3221-LH_2011
120413;PAR;MUC;1835;200;2200;200;0;LX_657-LX_3626
120413;PAR;MUC;1900;200;2225;200;0;LH_1043-LH_124
120413;PAR;MUC;725;200;1055;200;0;KL_2002-KL_1793
120413;PAR;MUC;1745;200;2115;200;0;LH_1041-LH_122
120413;PAR;MUC;625;200;1000;200;0;LH_1053-LH_104
120413;PAR;MUC;700;200;1035;200;0;LH_3227-LH_2003
120413;PAR;MUC;1450;200;1825;200;0;LX_639-LX_3622
120413;PAR;MUC;1515;200;1850;200;0;LH_3243-LH_2047
120413;PAR;MUC;1050;200;1430;200;0;LH_1029-LH_110
120413;PAR;MUC;935;200;1320;200;0;KL_1228-KL_1795
120413;PAR;MUC;1530;200;1915;200;0;LH_1037-LH_118
120413;PAR;MUC;1740;200;2125;200;0;LH_3223-LH_2019
120413;PAR;MUC;920;200;1310;200;0;LH_1027-LH_108
120413;PAR;MUC;1825;200;2215;200;0;KL_2022-KL_1801
120413;PAR;MUC;1000;200;1355;200;0;OS_412-OS_7233
120413;PAR;MUC;1245;200;1640;200;0;KL_2012-KL_1797
120413;PAR;MUC;1600;200;1955;200;0;LH_3231-LH_2085
120413;PAR;MUC;830;200;1230;200;0;SN_3632-SN_7053
120413;PAR;MUC;1650;200;2050;200;0;OS_416-OS_117
120413;PAR;MUC;935;200;1340;200;0;LG_8012-LG_9733
120413;PAR;MUC;735;200;1145;200;0;QF_3403-QF_3565
120413;PAR;MUC;1215;200;1625;200;0;SN_3634-SN_7057
120413;PAR;MUC;1350;200;1800;200;0;BA_315-BA_960
120413;PAR;MUC;1400;200;1810;200;0;LH_1035-LH_116
120413;PAR;MUC;735;200;1150;200;0;BA_303-BA_950
120413;PAR;MUC;735;200;1150;200;0;QF_3403-QF_3565
120413;PAR;MUC;900;200;1320;200;0;KL_1224-KL_1795
120413;PAR;MUC;1140;200;1600;200;0;LH_1031-LH_112
120413;PAR;MUC;1600;200;2025;200;0;LH_3231-LH_2077
120413;PAR;MUC;1740;200;2205;200;0;LH_3223-LH_2021
120413;PAR;MUC;1220;200;1650;200;0;BA_309-BA_954
120413;PAR;MUC;625;200;1100;200;0;LH_1053-LH_106
120413;PAR;MUC;915;200;1350;200;0;LH_3229-LH_2067
120413;PAR;MUC;950;200;1425;200;0;LX_633-LX_3620
120413;PAR;MUC;1440;200;1915;200;0;KL_1234-KL_1799
120413;PAR;MUC;1545;200;2020;200;0;AA_6230-AA_6469
120413;PAR;MUC;1725;200;2200;200;0;OS_7118-OS_7237
120413;PAR;MUC;715;200;1155;200;0;OS_7112-OS_7239
120413;PAR;MUC;925;200;1405;200;0;LH_3241-LH_2037
120413;PAR;MUC;1055;200;1535;200;0;AA_6433-AA_6545
120413;PAR;MUC;1145;200;1625;200;0;SN_3634-SN_7057
120413;PAR;MUC;1235;200;1715;200;0;AZ_333-AZ_436
120413;PAR;MUC;1745;200;2225;200;0;LH_1041-LH_124
120413;PAR;MUC;1530;200;2015;200;0;BA_335-BA_956
120413;PAR;MUC;1530;200;2015;200;0;LH_1037-LH_120
120413;MUC;PAR;630;200;805;200;0;LH_2226
120413;MUC;PAR;850;200;1025;200;0;LH_2228
120413;MUC;PAR;1040;200;1215;200;0;LH_2230
120413;MUC;PAR;1445;200;1620;200;0;LH_2232
120413;MUC;PAR;1540;200;1715;200;0;LH_2234
120413;MUC;PAR;1655;200;1830;200;0;LH_2236
120413;MUC;PAR;1905;200;2040;200;0;LH_2238
120413;MUC;PAR;2100;200;2235;200;0;LH_2240
120413;MUC;PAR;720;200;900;200;0;AF_1123
120413;MUC;PAR;720;200;900;200;0;JL_5710
120413;MUC;PAR;930;200;1110;200;0;AF_1423
120413;MUC;PAR;1035;200;1215;200;0;AF_1523
120413;MUC;PAR;1255;200;1435;200;0;AF_1723
120413;MUC;PAR;1610;200;1750;200;0;JL_5304
120413;MUC;PAR;1610;200;1750;200;0;AF_2023
120413;MUC;PAR;1830;200;2010;200;0;AF_2323
120413;MUC;PAR;2035;200;2215;200;0;AF_2523
120413;MUC;PAR;1645;200;1940;200;0;LH_117-LH_1046
