Index de la requête;Temps de chargement (ms);Temps de résolution Choco (ms);Temps total (ms)
0;6812;15499;22311
1;6120;9600;15720
2;5674;2295;7969
3;7476;239;7715
4;12147;30405;42552
5;6882;2672;9554
6;7399;12232;19631
7;6872;3042;9914
8;5906;692;6598
