Index de la requête;Temps de chargement (ms);Temps de résolution Choco (ms);Temps total (ms)
0;11035;1934;12969
1;12160;8961;21121
2;11652;7612;19264
3;12183;72;12255
4;10983;13420;24403
5;14111;3783;17894
6;11195;21668;32863
7;12033;25821;37854
8;13218;11123;24341
9;12594;19490;32084
