Index de la requête;Temps de chargement (ms);Temps de résolution Choco (ms);Temps total (ms)
0;13783;3101;16884
1;13233;19284;32517
2;12719;14790;27509
3;16310;3886;20196
4;12223;10875;23098
5;14349;5315;19664
6;15537;13080;28617
7;11172;49;11221
8;13141;19667;32808
9;16893;44636;61529
