Index de la requête;Temps de chargement (ms);Temps de résolution Choco (ms);Temps total (ms)
0;11881;6097;17978
1;11180;37549;48729
2;12004;3084;15088
3;10665;8123;18788
4;13487;55101;68588
5;9884;16777;26661
6;11889;4636;16525
7;11481;19276;30757
8;13551;24410;37961
