Index de la requête;Temps de chargement (ms);Temps de résolution Choco (ms);Temps total (ms)
0;18634;27146;45780
1;23654;7400;31054
2;13340;4457;17797
3;27906;33312;61218
5;22324;50601;72925
6;20433;42856;63289
7;16676;14183;30859
8;19239;31811;51050
9;18473;65302;83775
